bench,mode,api,iface,op,size_bytes,blocks,threads,repeats,total_bytes,host_ms,host_wall_ns,gbps_host,gbps_host_wall,dev_cycles,bytes_per_cycle,clk_khz,clk_eff_khz_from_host,gbps_dev
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,8,128,65536,1073741824,211.696487,212217564,5.072081,5.059628,210172364,5.108863047,1073741,992800.431,5.485596
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,8,256,65536,1073741824,172.079178,172655691,6.239813,6.218977,169096124,6.349890220,1073741,982664.644,6.818137
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,8,512,65536,1073741824,155.385422,155957087,6.910184,6.884854,151520856,7.086429237,1073741,975129.161,7.608990
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,16,128,65536,1073741824,171.308945,172111314,6.267868,6.238648,168456056,6.374017352,1073741,983346.528,6.844044
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,16,256,65536,1073741824,213.686279,214366901,5.024852,5.008897,210375052,5.103940861,1073741,984504.259,5.480311
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,16,512,65536,1073741824,268.052032,268884448,4.005722,3.993321,263010550,4.082504766,1073741,981192.150,4.383553
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,32,128,65536,1073741824,153.638306,154491940,6.988764,6.950148,149903412,7.162891156,1073741,975690.349,7.691090
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,32,256,65536,1073741824,259.471313,260143192,4.138191,4.127503,254476756,4.219410216,1073741,980751.022,4.530554
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,32,512,65536,1073741824,500.412750,501119796,2.145712,2.142685,492260976,2.181245064,1073741,983709.899,2.342092
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,64,128,65536,1073741824,440.645905,441538121,2.436745,2.431821,435629046,2.464807693,1073741,988614.762,2.646565
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,64,256,65536,1073741824,848.888916,849574007,1.264879,1.263859,841653430,1.275752924,1073741,991476.522,1.369828
